questions,statements,true_answers,pred_answers,true_descriptions,pred_descriptions,accuracy,infos,outputs
what did the lady do before wipping the baby s mouth,the lady wipes the baby's mouth,4,2,take napkin,adjusts the baby in grey,0,"{'Start Frame': 76, 'Frame 76': {}}","{'Enough Information?': True, 'Answer': 2, 'Choose Frame': None, 'VQA Question': None}"
what did the man in grey do before the plane took off,the man in grey does something before the plane takes off,error,error,error,error,0,error,error
what was the boy in yellow doing before the boy in blue turned his head behind at the middle,the boy in yellow was doing something before the boy in blue turned his head behind at the middle,3,0,pick something up from ground,move his hands to other chair,0,"{'Start Frame': 71, 'Frame 71': {'caption': ['a little boy sitting on the floor playing with toys'], 'what was the boy in yellow doing': ['no boy']}, 'Frame 50': {'caption': ['a little boy sitting on the floor playing with a pair of scissors']}, 'Frame 38': {'caption': ['a young boy sitting on the floor playing with a toy'], 'what is the boy in yellow doing': ['sitting'], 'what was the boy in yellow doing': ['sitting']}, 'Frame 63': {'caption': ['a young boy sitting on the floor playing with a pair of scissors'], 'what is the boy in yellow doing': ['no boy']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 63, 'VQA Question': 'what is the boy in yellow doing'}"
why does the lady hold the baby before getting down the slide,the lady holds the baby,3,3,adjust his position,adjust his position,1,"{'Start Frame': 55, 'Frame 55': {'caption': ['a woman holding a baby in her arms']}, 'Frame 31': {}}","{'Enough Information?': True, 'Answer': 3, 'Choose Frame': None, 'VQA Question': None}"
what did the man on the stage do before sitting,the man on the stage is sitting,1,1,stand and sway,stand and sway,1,"{'Start Frame': 40, 'Frame 40': {'caption': ['a man standing in front of a microphone'], 'what did the man on the stage do': ['sing']}}","{'Enough Information?': True, 'Answer': 1, 'Choose Frame': None, 'VQA Question': None}"
what did the boy in yellow do before he passed the ball to the boy in blue,the boy in yellow passes the ball to the boy in blue,4,0,kick it up,chase up the ball,0,"{'Start Frame': 5, 'Frame 5': {'caption': ['a little boy playing with a toy truck in a yard'], 'what is the boy doing': ['playing']}, 'Frame 29': {'what is the boy in yellow doing': ['playing'], 'caption': ['a couple of kids playing in a yard']}, 'Frame 15': {'caption': ['a couple of kids playing in a yard']}, 'Frame 8': {'what is the boy in yellow doing': ['standing'], 'caption': ['a little boy standing in a yard next to a soccer goal']}, 'Frame 20': {'what did the boy in yellow do': ['play'], 'caption': ['a group of children playing soccer in a yard'], 'what is the boy in yellow doing': ['playing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 20, 'VQA Question': 'what is the boy in yellow doing'}"
what did the black dog do before it stood up at the end,"the black dog stood up at the end """,error,error,error,error,0,error,error
what was the girl in black doing before she stood up near the end,the girl in black is standing up near the end,error,error,error,error,0,error,error
what does the child look at before drawing on the pink toy,the child is drawing on the pink toy,3,0,laptop,book,0,"{'Start Frame': 77, 'Frame 77': {'caption': ['a little boy that is sitting on a couch'], 'what is the child looking at': ['laptop'], 'what is the child looking at?': ['laptop']}, 'Frame 52': {'caption': ['a little boy sitting on a couch holding a toothbrush'], 'what is the child looking at': ['tv'], 'what is the child holding': ['toothbrush']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 52, 'VQA Question': 'what is the child looking at'}"
what did the man do before the girl in pink started swimming,the man started swimming,1,0,push her to swim,move towards him,0,"{'Start Frame': 8, 'Frame 8': {'caption': ['a man swimming in a pool with a yellow hat'], 'what is the man doing': ['swimming']}, 'Frame 22': {'caption': ['a group of people standing around a swimming pool'], 'what is the man doing': ['playing in water']}, 'Frame 17': {'what is the man doing': ['playing in water']}}","{'Enough Information?': True, 'Answer': 0, 'Choose Frame': None, 'VQA Question': None}"
what did the man wearing the grey jacket do before the baby got the pacifier,the man wearing the grey jacket,2,0,watch,carry baby up,0,"{'Start Frame': 47, 'Frame 47': {'caption': ['a little boy sitting on a bed in a room'], 'what is the man in grey doing': ['taking picture'], 'what is the man wearing': ['pajamas'], 'what is the man wearing the grey jacket doing': ['taking picture']}, 'Frame 69': {'what did the man wearing the grey jacket do': ['take picture'], 'caption': ['a baby laying on top of a bed next to a stuffed animal'], 'what is the man wearing the grey jacket doing': ['holding baby']}, 'Frame 64': {'caption': ['a baby is laying on a bed with a stuffed animal'], 'what is the man wearing the grey jacket doing': ['watching baby'], 'what is the man wearing': [""pj's""], 'what is the man wearing a grey jacket doing': ['watching baby']}, 'Frame 36': {'what is the man wearing': [""pj's""]}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 36, 'VQA Question': 'what is the man wearing'}"
what did the man do before he cut the fish sideways,the man cut the fish sideways,2,0,cut fish head,wriggle around,0,"{'Start Frame': 13, 'Frame 13': {'caption': ['a man is cutting a fish on a grill'], 'what is the man doing': ['cutting fish'], 'what did the man do': ['cut fish']}, 'Frame 6': {'what did the man do': ['cut fish'], 'caption': ['a man is cutting a fish on a grill'], 'what is the man doing before he cuts the fish sideways': ['sharpening knife']}, 'Frame 4': {'caption': ['a man is cutting a fish on a grill'], 'what did the man do': ['cut fish']}, 'Frame 2': {'caption': ['a man is cutting a fish on a grill'], 'what is the man doing': ['cutting fish']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 2, 'VQA Question': 'what is the man doing'}"
how does the man react to the performance before sitting down,the man reacts to the performance before sitting down,0,0,smile,smile,1,"{'Start Frame': 40, 'Frame 40': {'caption': ['a man standing in front of a microphone']}, 'Frame 12': {'caption': ['a man standing in front of a microphone on a stage']}, 'Frame 16': {'caption': ['a man standing in front of a podium in a room']}, 'Frame 8': {""what is the man's facial expression"": ['happy'], 'caption': ['a man standing in front of a podium holding a microphone'], 'how does the man react to the performance': ['surprised']}, 'Frame 14': {'what does the man do after the performance': ['sing'], 'caption': ['a man standing in front of a podium holding a microphone'], 'what is the man doing': ['singing']}, 'Frame 6': {'caption': ['a man standing in front of a microphone next to another man']}, 'Frame 2': {'caption': ['two men standing in a room playing a video game'], 'what is the man doing': ['playing wii'], 'how does the man react to the performance': [""he's happy""], 'what are the men doing': ['playing wii']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 2, 'VQA Question': 'what are the men doing'}"
what did the boy do before he raised his hand to take the camera,the boy raised his hand to take the camera,error,error,error,error,0,error,error
what is the dog doing before being touched by the man,the man is touching the dog,2,1,chasing its tail,run away,0,"{'Start Frame': 15, 'Frame 15': {'caption': ['a dog is standing in front of a tv']}, 'Frame 14': {'caption': ['a dog standing in front of a tv in a living room']}, 'Frame 7': {'what is the dog doing': ['standing']}}","{'Enough Information?': True, 'Answer': 1, 'Choose Frame': None, 'VQA Question': None}"
what do the people do before the man in yellow hands the box over to the lady,the man in yellow hands the box over to the lady,3,0,make gestures to camera,take the things out of box,0,"{'Start Frame': 129, 'Frame 129': {'caption': ['a group of people sitting around each other'], 'what are the people doing': ['working']}}","{'Enough Information?': True, 'Answer': 0, 'Choose Frame': None, 'VQA Question': None}"
what did the girl do before she put her hands up in the middle,the girl put her hands up in the middle,1,0,jump,claps,0,"{'Start Frame': 3, 'Frame 3': {'caption': ['a group of people standing around each other']}, 'Frame 49': {'caption': ['a group of people standing around each other on a field'], 'what is the girl doing': [""holding girl's hand""]}, 'Frame 33': {'caption': ['a group of people standing around each other in a field'], 'what is the girl doing': ['cutting hair']}, 'Frame 24': {'caption': ['a group of young people standing around each other']}, 'Frame 12': {'caption': ['a group of people standing around each other']}, 'Frame 11': {'caption': ['a couple of people that are standing in the grass'], 'what is the girl doing': ['dancing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 11, 'VQA Question': 'what is the girl doing'}"
