1802,3270490566,what does the man playing the drum do after finishing the song?,"['stares at everyone', 'wave to someone', 'put instrument down', 'clap', 'pat his legs']",2,1
1804,11871253306,why did the boy in green shoot into the goal post after picking up the ball?,"['to throw it in', 'to not step on it', 'disappointed that he missed one pin', 'wide hole on the ground', 'to move it away']",0,0
1805,5048503508,why is the child in blue running?,"['trying to crush fishes', 'follow child in green', 'lose control of the car', 'dancing', 'climb monkey bars']",2,1
1806,2834146886,why did the black dog stick his head under the sofa after coming out from the bottom of table?,"['wanted to hide', 'to play with the toy', 'eating', 'scratching', 'play with the person']",1,0
1807,3427674558,what is the relationship between the people on stage?,"['classmates', 'dance group', 'friends', 'colleagues', 'band member']",1,1
1810,3375218204,why does the man lie down on the floor in the middle?,"['pick something up', 'let kids walk through', 'not enough chairs to sit', 'he fell', 'watching the dog and cat play']",3,1
1811,2510696559,where is this happening?,"['outdoors', 'bar', 'in the day', 'classroom', 'bicycle park']",0,4
1812,6253433310,why are there air bubbles coming out from the boy s mouth?,"['breathing out', 'physiological arousal', 'playing with it', 'likes to suck', 'talking']",1,0
1815,7771650716,what is the person in pink shorts doing when the man in white is playing with dog?,"['clean the backyard', 'close the car door', 'stand and watch', 'clean the car', 'follow the man']",2,2
1816,11966080214,how does the girl play with her toy at the beginning of the video?,"['hit with stick', 'put on the sofa', 'move it with her hands', 'bounces him up and down', 'put toy into doll s mouth']",2,0
1817,4443526735,why did the baby jump in the start of video?,"['on trampoline', 'rope skipping', 'imitate rabbit', 'ask for more food', 'playing with swing']",4,4
1818,5229476012,why is the lady pulling the boy s legs at the end of the video?,"['dragging him to mat', 'stretching', 'move the trolley', 'helping him move in pool', 'part of the dance']",0,3
1820,3233088823,how is the rock removed from the bridge?,"['use shovel', 'prostrate and slide down', 'pull it back onto path', 'bulldozer', 'man holding it closed']",3,3
1821,4013751996,why does nt the girl need to paddle at the beginning?,"['going down a slope', 'pick up leash', 'washing her hands', 'to take the food', 'to have fun']",0,0
1822,4838145161,why is the cat shaking its paws after moving back?,"['to remove water from his body', 'sleepy', 'prevent hitting shelf', 'swat water from face', 'injured']",3,3
1823,4857781123,where is the dog and the person hanging out?,"['outdoors', 'grass patch', 'kitchen', 'house', 'snow wild']",0,3
1824,3124551255,what does the boy do after looking up at the start?,"['singing', 'playing with sticks', 'talk to the lady', 'kick the bottle', 'playing the guitar']",1,2
1825,11966080214,why is the toy so colorful?,"['to attract buyers', 'light from plug', 'found it funny', 'prevent cold', 'sunny']",0,0
1827,4075791856,where is this video taken?,"['train', 'ballroom', 'stage', 'construction site', 'field']",2,2
1828,4444192938,what did the boy in red do after the girl in pink touched his bag?,"['got imbalanced', 'looked at the ground', 'goes to help', 'put both hands by her side', 'point to the lady in black']",3,1
1829,6078524411,why is the baby raising his left arm up and down?,"['playing with object', 'man moved it', 'excited', 'touch his face', 'imitate the lady']",0,0
1830,4179163342,how did the youngest girl show affection to the dog?,"['hug dog', 'rub the dog', 'kiss', 'stroke the dog', 'lady is carrying the dog']",3,0
1831,4740074365,how did the bridegroom show affection to the bride?,"['kiss the bride', 'feed her a cake', 'carries and strokes it', 'rub the bride', 'hug from behind']",1,0
1832,3340340268,what was the girl in red doing when the girl in green first stumbled on the dog?,"['holding paper', 'stands still in shock', 'run', 'walk across', 'tree']",0,0
1834,3960291106,what does the man in white do after covering his mouth using his hand?,"['on his thighs', 'wipe his eyes with towel', 'listen', 'look into mug', 'throws it inside the cage']",1,1
1835,4190655097,how does the cat get out of the cot?,"['jumps out', 'swing stick', 'fly out', 'swim out', 'with two front paws']",0,0
1836,5902452647,what does the woman in jeans do after moving her knees at the end?,"['takes a photo', 'put up her finger', 'reach for something', 'run around stage', 'put hand down']",3,0
1837,8253302563,how does the boy enter the toy car at the start?,"['remote controlled', 'step up into the car', 'pushing', 'remote control', 'jump around it']",1,1
1838,5854324479,what does the man in dark brown do after making a few hand gestures and smiles at the end?,"['sway his body', 'looks at paper', 'look towards the man talking', 'walk back', 'look up']",0,3
1839,3303565503,why were there white flashes in the middle of the video?,"['from audiences phone', 'broken lights', 'torchlight', 'pictures taken', 'stagelights']",4,3
1840,2547885226,what does the kid do right after standing up?,"['pointed at the sandals', 'kicks sand off his shoes', 'bring jacket away', 'swing the dog', 'smile and walk forward']",1,1
1841,2877270840,why is the man talking and holding the glass?,"['performing something magic', 'show something on the laptop', 'vomit something', 'mix the drink', 'talking about the drink']",4,4
1842,9217939684,where are the people hanging out?,"['forest trail', 'room', 'kitchen', 'playground', 'bus']",1,1
1843,5875535585,why does the man in black walk up and down?,"['waiting to cut ribbon', 'resting', 'have closer look', 'interact with audience', 'change slides']",3,3
1844,2599937944,how did the 3 ladies react when watching the man in black?,"['point at him', 'smiling', 'covered his face in embarrassment', 'hold his hand', 'hold chopsticks to his tongue']",2,0
1846,6277800530,what does the man hold onto while riding the jeep out of the water?,"['put the man s other hand in', 'handle', 'inspect car', 'a paddle', 'pulls it off']",1,1
1847,4770216656,why does the man touch the swing periodically?,"['push swing', 'he was bored', 'stop the child', 'disturbing the child', 'push the dog']",1,0
1848,2735019707,how do the people play the instrument?,"['strum the string', 'wave around', 'tap feet', 'pat with hands', 'blow']",1,3
1849,9531760182,how did the lady react when the boy brought the bowl to his right at the beginning of the video?,"['lift boy up', 'imitate baby', 'shout at boy', 'laughing', 'pull the paper']",2,3
1851,3060478605,how was the lady transporting herself across the road?,"['paddle forward', 'horse', 'cycle', 'use poles', 'skiing']",2,1
1852,4978714491,which bus arrives at the road gate first?,"['white bus', 'blue one', 'orange bus', 'red one', 'black bus']",0,0
1853,3851913128,why did the guy in red suddenly take off his goggles?,"['adjusting the rope', 'done performing', 'bring it down to wear', 'for clearer vision', 'showhow']",1,4
1854,2454242177,why did the baby hold the ball in front of the dog?,"['give to dog', 'to grab the ball', 'prevent dog snatch the ball', 'play with it', 'try to take toy']",3,0
1855,5702201498,how is the man feeling the softness of the pillow?,"['wear more clothes', 'hug it', 'wear socks', 'hitting the pillow', 'hold it on shoulder']",1,1
1856,2971556305,why did the women follow one another around the house?,"['looking for a water bottle', 'to catch the dog', 'looking for the girl', 'touring house', 'preparing to clean the table']",3,3
1857,9304738817,why is the woman standing behind baby?,"['support walking baby', 'pushing swing', 'pulling his trolley', 'posing for photo', 'clean his toy']",0,1
1859,4006608424,how do the man and the boy get from one side of the playground to the other at the beginning of the video?,"['on his belly', 'running', 'cycling', 'swing', 'pull boy s toy']",0,3
1860,2705374471,what does the baby do after stretching his arms and legs in the middle of the video?,"['look towards the camera', 'turn his head', 'bites the toy', 'show baby s face', 'pushing box']",2,1
1861,4774302357,why is the screen of the computer moving?,"['microphone for recording', 'man click on different buttons', 'man in grey moving with mouse', 'giving instructions on how to dance', 'follow the direction of model turning']",2,2
1862,4822859674,why does the baby start moving towards the woman at the start of the video?,"['take pink balloon', 'sit on chair', 'readjust baby s position', 'push toy train', 'wants food']",2,4
1863,8024853715,where is this place?,"['in a building', 'park', 'dirt field', 'waterfall', 'grassland']",0,1
1864,6621511673,why is the baby girl following the man and pointing at the pictures too?,"['leading them', 'to place them around the house', 'jump with girl', 'follow ball that went to lady', 'learning from her father']",4,4
1867,4094488636,what did the black dog do when the brown dog first walked towards the pole and faced it near the start?,"['crawled to the toy', 'the concrete brick with plants', 'bite and push', 'faces brown dog', 'look at them']",4,3
1868,4635309062,what does the man in white do after the man in black picks up the white bowl near the end?,"['touch donkey s head', 'put bread down', 'washing hands', 'reads from card', 'step back and raise hands']",4,2
1869,4485498145,what activity is happening?,"['learn dancing', 'gathering', 'focus group discussion', 'playing instruments', 'fire performance']",1,1
1871,6691330381,why is the boy wriggling his legs near the middle?,"['move to another place', 'lady rocking him', 'trying to break free', 'touch sand water', 'excited']",2,2
1872,2868183184,why is the lady seated near the girl?,"['pose for camera', 'feed the boy', 'recording the girl', 'adjusting her hairtie', 'assisting in preparing the food']",2,4
1873,6143391925,why did the woman bend down her head when the baby is beside her?,"['ceremonial pose', 'adjust baby s shirt', 'talk to her', 'to show baby something', 'pick up leash']",4,2
1874,6329954198,why does the man in black get up towards the end?,"['stroke the dog', 'finish writing', 'shield from sunlight', 'talking', 'pose for camera']",2,1
1876,4263096481,why did the man cut the head of the fish off first?,"['to create bubbles', 'show the organ', 'to show audience', 'wipe water off', 'easier to cut open']",4,4
1877,2821788355,where is this happening?,"['car', 'sea', 'stage', 'forest', 'karaoke room']",1,1
1878,3192668394,what does the man in black do after wiping his mouth?,"['touch his fingers', 'drink', 'feeds the cat', 'shake finger', 'snaps his fingers']",0,1
1879,2834146886,why did the black dog walk up the cushion beside the chair?,"['getting fur shaved', 'lick the other dog', 'look for more food', 'to smell', 'curious what item on table is']",4,3
1880,7771650716,why did the man in white pull the leash of the grey dog?,"['feed the dog', 'give food', 'dog wants to leave', 'dog was barking', 'bathe the dog']",2,2
1881,4013751996,why did the girl squat down after some time?,"['pick up clothes', 'trying out poses', 'looking at phone', 'watch somewhere', 'feed kangaroo']",2,3
1882,6860322796,what did the brown dog do when it saw the black dog running away at the beginning of the video?,"['chase after black dog', 'chased after it', 'walk around bushes', 'dive into water', 'starts biting the ball']",1,0
1883,8313365386,how did the girl signal to the lady what she wanted to show her?,"['smile and wave', 'stir mixture with spatula', 'use hand gestures to demonstrate', 'kiss the lady', 'points toward it']",2,4
1884,5061117640,why did nt the man walk straight into the room when he opened it?,"['to give the phone', 'help the lady get out car', 'other man was showing something', 'looking poster', 'talking about something']",2,2
1885,5133787349,how does the man at the side react when the man in front is the only one left standing?,"['pat his back', 'packing', 'put arms in the air', 'hold boy s hand', 'push the float']",3,2
1886,5323654756,why is the boy in blue standing at the corner of the room?,"['following', 'to balance', 'to flim the party', 'watching girl in pink', 'to put up the christmas tree']",3,3
1887,3303565503,how many people are posing in this shoot?,"['seven', 'five', 'six', 'two', 'three']",2,3
